"index","anomaly","appliance"
2014-06-26 14:50:00,1,drye1
2014-06-26 23:50:00,1,drye1
2014-06-29 03:50:00,1,air1
2014-06-29 04:50:00,1,air1
2014-06-30 02:50:00,1,drye1
2014-07-01 05:50:00,1,air1
2014-07-01 06:50:00,1,air1
2014-07-02 21:50:00,1,drye1
2014-07-05 18:50:00,1,drye1
2014-07-10 18:50:00,1,drye1
2014-07-15 01:50:00,1,drye1
2014-07-15 10:50:00,1,drye1
2014-07-15 11:50:00,1,drye1
2014-07-06 14:50:00,1,drye1
2014-07-22 10:50:00,1,drye1
2014-07-22 15:50:00,1,drye1
2014-07-22 21:50:00,1,drye1
2014-07-24 01:50:00,1,drye1
2014-08-03 22:50:00,1,drye1
2014-08-05 00:50:00,1,drye1
2014-08-05 08:50:00,1,drye1
2014-08-07 19:50:00,1,drye1
2014-08-13 20:50:00,1,drye1
2014-08-18 02:50:00,1,drye1
2014-08-26 19:50:00,1,drye1
2014-08-29 02:50:00,1,drye1
2014-08-31 03:50:00,1,drye1
