index,anomaly,appliance
27/06/14 17:50,1,TumbleDryer
28/06/14 11:50,1,TumbleDryer
05/07/14 16:50,1,TumbleDryer
11/07/14 18:50,1,TumbleDryer
11/07/14 19:50,1,TumbleDryer
11/07/14 20:50,1,TumbleDryer
15/07/14 12:50,1,Microwave
19/07/14 20:50,1,TumbleDryer
19/07/14 21:50,1,TumbleDryer
10/08/14 17:50,1,TumbleDryer
10/08/14 18:50,1,TumbleDryer
10/08/14 19:50,1,TumbleDryer
11/08/14 19:50,1,TumbleDryer
11/08/14 20:50,1,TumbleDryer
16/08/14 11:50,1,TumbleDryer
16/08/14 12:50,1,TumbleDryer
16/08/14 13:50,1,TumbleDryer
24/08/14 17:50,1,Microwave
24/08/14 18:50,1,Miss
25/08/14 10:50,1,Miss
25/08/14 11:50,1,Miss
25/08/14 12:50,1,Miss
